,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
249,AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",G,N,N,100.0,N,N
250,AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
251,AMSC,American Superconductor Corporation - Common Stock,Q,N,N,100.0,N,N
252,AMSF,"AMERISAFE, Inc. - Common Stock",Q,N,N,100.0,N,N
253,AMST,Amesite Inc. - Common Stock,S,N,N,100.0,N,N
254,AMSWA,"American Software, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
255,AMTX,"Aemetis, Inc - Common Stock",G,N,N,100.0,N,N
256,AMWD,American Woodmark Corporation - Common Stock,Q,N,N,100.0,N,N
257,AMZD,Direxion Daily AMZN Bear 1X Shares,G,N,N,100.0,Y,N
258,AMZN,"Amazon.com, Inc. - Common Stock",Q,N,N,100.0,N,N
259,AMZU,Direxion Daily AMZN Bull 2X Shares,G,N,N,100.0,Y,N
260,AMZZ,GraniteShares 2x Long AMZN Daily ETF,G,N,N,100.0,Y,N
261,ANAB,"AnaptysBio, Inc. - Common Stock",Q,N,N,100.0,N,N
262,ANDE,"The Andersons, Inc. - Common Stock",Q,N,N,100.0,N,N
263,ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",S,N,N,100.0,N,N
264,ANGH,Anghami Inc. - Ordinary Shares,G,N,D,100.0,N,N
265,ANGHW,Anghami Inc. - Warrants,S,N,N,100.0,N,N
266,ANGI,Angi Inc. - Class A Common Stock,Q,N,N,100.0,N,N
267,ANGL,VanEck Fallen Angel High Yield Bond ETF,G,N,N,100.0,Y,N
268,ANGO,"AngioDynamics, Inc. - Common Stock",Q,N,N,100.0,N,N
269,ANIK,Anika Therapeutics Inc. - Common Stock,Q,N,N,100.0,N,N
270,ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
271,ANIX,"Anixa Biosciences, Inc. - Common Stock",S,N,N,100.0,N,N
272,ANL,Adlai Nortye Ltd. - American Depositary Shares,G,N,N,100.0,N,N
273,ANNX,"Annexon, Inc. - common stock",Q,N,N,100.0,N,N
274,ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,G,N,N,100.0,N,N
275,ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit,G,N,N,100.0,N,N
276,ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant,G,N,N,100.0,N,N
277,ANSS,"ANSYS, Inc. - Common Stock",Q,N,N,100.0,N,N
278,ANTE,"AirNet Technology Inc. - American Depositary Shares, each representing one ordinary shares",S,N,D,100.0,N,N
279,ANTX,"AN2 Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
280,ANY,Sphere 3D Corp. - Common Shares,S,N,N,100.0,N,N
281,AOGO,Arogo Capital Acquisition Corp. - Class A Common Stock,G,N,D,100.0,N,N
282,AOGOU,Arogo Capital Acquisition Corp. - Unit,G,N,D,100.0,N,N
283,AOGOW,Arogo Capital Acquisition Corp. - Warrant,G,N,D,100.0,N,N
284,AONC,"American Oncology Network, Inc. - Class A Common Stock",S,N,N,100.0,N,N
285,AONCW,"American Oncology Network, Inc. - Warrant",S,N,N,100.0,N,N
286,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,N,N,100.0,N,N
287,AOTG,AOT Growth and Innovation ETF,G,N,N,100.0,Y,N
288,AOUT,"American Outdoor Brands, Inc. - Common Stock",Q,N,N,100.0,N,N
289,APA,APA Corporation - Common Stock,Q,N,N,100.0,N,N
290,APCX,AppTech Payments Corp. - Common stock,S,N,N,100.0,N,N
291,APCXW,AppTech Payments Corp. - Warrant,S,N,N,100.0,N,N
292,APDN,"Applied DNA Sciences, Inc. - Common Stock",S,N,D,100.0,N,N
293,APEI,"American Public Education, Inc. - Common Stock",Q,N,N,100.0,N,N
294,APGE,"Apogee Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
